category,item_name,serving_size_g,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category_clean,chain
Beverages,Minute Maid Orange Juice (Small),12 fl oz cup,150,0.0,0.0,0.0,0,0,34,0,30,2,beverage,mcdonalds
Beverages,Minute Maid Orange Juice (Medium),16 fl oz cup,190,0.0,0.0,0.0,0,0,44,0,39,3,beverage,mcdonalds
Beverages,Minute Maid Orange Juice (Large),22 fl oz cup,280,0.0,0.0,0.0,0,5,65,0,58,4,beverage,mcdonalds
Beverages,Dasani Water Bottle,16.9 fl oz,0,0.0,0.0,0.0,0,0,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Iced Tea (Small),16 fl oz cup,0,0.0,0.0,0.0,0,10,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,0,0.0,0.0,0.0,0,10,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Iced Tea (Large),30 fl oz cup,0,0.0,0.0,0.0,0,15,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Iced Tea (Child),12 fl oz cup,0,0.0,0.0,0.0,0,5,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,150,0.0,0.0,0.0,0,10,36,0,36,1,beverage,mcdonalds
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,180,0.0,0.0,0.0,0,10,45,0,45,1,beverage,mcdonalds
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,220,0.0,0.0,0.0,0,10,54,0,54,1,beverage,mcdonalds
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,110,0.0,0.0,0.0,0,5,27,0,27,0,beverage,mcdonalds
Coffee & Tea,Coffee (Small),12 fl oz cup,0,0.0,0.0,0.0,0,0,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Coffee (Medium),16 fl oz cup,0,0.0,0.0,0.0,0,0,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Coffee (Large),16 fl oz cup,0,0.0,0.0,0.0,0,0,0,0,0,0,beverage,mcdonalds
Coffee & Tea,Latte (Small),12 fl oz cup,170,9.0,5.0,0.0,25,115,15,1,12,9,beverage,mcdonalds
