chain,category_clean,item_name,serve_size,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,calories_kcal_norm,total_fat_norm,saturated_fat_norm,trans_fat_norm,cholesterol_norm,sodium_norm,carbohydrates_norm,dietary_fiber_norm,sugars_norm,protein_norm
burger_king,beverage,Minute Maid Light Lemonade,454.61,ml,10,0.0,0.0,0.0,0.0,60.0,3.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,13.2,0.66,0.0,0.0,0.0
burger_king,beverage,Minute Maid Light Lemonade,568.26,ml,10,0.0,0.0,0.0,0.0,70.0,4.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,12.32,0.7,0.0,0.0,0.0
burger_king,beverage,Minute Maid Light Lemonade,823.98,ml,15,0.0,0.0,0.0,0.0,105.0,5.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,12.74,0.61,0.0,0.0,0.0
burger_king,beverage,Minute Maid Light Lemonade,1079.7,ml,20,0.0,0.0,0.0,0.0,135.0,7.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,12.5,0.65,0.0,0.0,0.0
burger_king,beverage,Sweet Tea,568.26,ml,120,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,21.12,0.0,0.0,0.0,0.0,0.0,6.16,0.0,6.16,0.0
burger_king,beverage,Sweet Tea,823.98,ml,160,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,0.0,19.42,0.0,0.0,0.0,0.0,0.0,5.95,0.0,5.95,0.0
burger_king,beverage,Sweet Tea,1136.52,ml,240,0.0,0.0,0.0,0.0,0.0,71.0,0.0,71.0,0.0,21.12,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0
burger_king,beverage,Unsweetened Tea,568.26,ml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burger_king,beverage,Unsweetened Tea,823.98,ml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burger_king,beverage,Unsweetened Tea,1136.52,ml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burger_king,beverage,Capri Sun 100% Apple Juice,176.16,ml,80,0.0,0.0,0.0,0.0,25.0,20.0,0.0,20.0,0.0,45.41,0.0,0.0,0.0,0.0,14.19,11.35,0.0,11.35,0.0
burger_king,beverage,Minute Maid Orange Juice,284.13,ml,140,0.0,0.0,0.0,0.0,20.0,33.0,0.0,30.0,2.0,49.27,0.0,0.0,0.0,0.0,7.04,11.61,0.0,10.56,0.7
