chain,category_clean,item_name,serve_size_new,serve_size_unit,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category,serving_size_g
McDondalds,beverage,Dr Pepper (Large),30,fl oz,270,0.0,0.0,0.0,0,90,72,0,70,0,Beverages,30 fl oz cup
McDondalds,beverage,Dr Pepper (Child),12,fl oz,100,0.0,0.0,0.0,0,30,27,0,26,0,Beverages,12 fl oz cup
McDondalds,beverage,Diet Dr Pepper (Small),16,fl oz,0,0.0,0.0,0.0,0,70,0,0,0,2,Beverages,16 fl oz cup
McDondalds,beverage,Diet Dr Pepper (Medium),21,fl oz,0,0.0,0.0,0.0,0,100,0,0,0,3,Beverages,21 fl oz cup
McDondalds,beverage,Diet Dr Pepper (Large),30,fl oz,0,0.0,0.0,0.0,0,140,0,0,0,4,Beverages,30 fl oz cup
McDondalds,beverage,Diet Dr Pepper (Child),12,fl oz,0,0.0,0.0,0.0,0,50,0,0,0,1,Beverages,12 fl oz cup
McDondalds,beverage,Sprite (Small),16,fl oz,140,0.0,0.0,0.0,0,30,37,0,37,0,Beverages,16 fl oz cup
McDondalds,beverage,Sprite (Medium),21,fl oz,200,0.0,0.0,0.0,0,45,54,0,54,0,Beverages,21 fl oz cup
McDondalds,beverage,Sprite (Large),30,fl oz,280,0.0,0.0,0.0,0,60,74,0,74,0,Beverages,30 fl oz cup
McDondalds,beverage,Sprite (Child),12,fl oz,100,0.0,0.0,0.0,0,25,27,0,27,0,Beverages,12 fl oz cup
McDondalds,beverage,1% Low Fat Milk Jug,8,fl oz,100,2.5,1.5,0.0,10,125,12,0,12,8,Beverages,1 carton (236 ml)
McDondalds,beverage,Fat Free Chocolate Milk Jug,8,fl oz,130,0.0,0.0,0.0,5,135,23,1,22,9,Beverages,1 carton (236 ml)
McDondalds,beverage,Minute Maid 100% Apple Juice Box,6,fl oz,80,0.0,0.0,0.0,0,15,21,0,19,0,Beverages,6 fl oz (177 ml)
McDondalds,beverage,Minute Maid Orange Juice (Small),12,fl oz,150,0.0,0.0,0.0,0,0,34,0,30,2,Beverages,12 fl oz cup
McDondalds,beverage,Minute Maid Orange Juice (Medium),16,fl oz,190,0.0,0.0,0.0,0,0,44,0,39,3,Beverages,16 fl oz cup
McDondalds,beverage,Minute Maid Orange Juice (Large),22,fl oz,280,0.0,0.0,0.0,0,5,65,0,58,4,Beverages,22 fl oz cup
McDondalds,beverage,Dasani Water Bottle,16.9,fl oz,0,0.0,0.0,0.0,0,0,0,0,0,0,Beverages,16.9 fl oz
McDondalds,beverage,Iced Tea (Small),16,fl oz,0,0.0,0.0,0.0,0,10,0,0,0,0,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Iced Tea (Medium),21,fl oz,0,0.0,0.0,0.0,0,10,0,0,0,0,Coffee & Tea,21 fl oz cup
McDondalds,beverage,Iced Tea (Large),30,fl oz,0,0.0,0.0,0.0,0,15,0,0,0,0,Coffee & Tea,30 fl oz cup
McDondalds,beverage,Iced Tea (Child),12,fl oz,0,0.0,0.0,0.0,0,5,0,0,0,0,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Sweet Tea (Small),16,fl oz,150,0.0,0.0,0.0,0,10,36,0,36,1,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Sweet Tea (Medium),21,fl oz,180,0.0,0.0,0.0,0,10,45,0,45,1,Coffee & Tea,21 fl oz cup
McDondalds,beverage,Sweet Tea (Large),30,fl oz,220,0.0,0.0,0.0,0,10,54,0,54,1,Coffee & Tea,30 fl oz cup
McDondalds,beverage,Sweet Tea (Child),12,fl oz,110,0.0,0.0,0.0,0,5,27,0,27,0,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Coffee (Small),12,fl oz,0,0.0,0.0,0.0,0,0,0,0,0,0,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Coffee (Medium),16,fl oz,0,0.0,0.0,0.0,0,0,0,0,0,0,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Coffee (Large),16,fl oz,0,0.0,0.0,0.0,0,0,0,0,0,0,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Latte (Small),12,fl oz,170,9.0,5.0,0.0,25,115,15,1,12,9,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Latte (Medium),16,fl oz,210,10.0,6.0,0.0,30,140,18,1,15,11,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Latte (Large),20,fl oz,280,14.0,8.0,0.0,40,180,24,1,20,15,Coffee & Tea,20 fl oz cup
McDondalds,beverage,Caramel Latte (Small),12,fl oz,270,9.0,5.0,0.0,25,115,40,1,38,9,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Caramel Latte (Medium),16,fl oz,340,10.0,6.0,0.0,30,140,50,1,48,11,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Caramel Latte (Large),20,fl oz,430,14.0,8.0,0.0,40,180,62,1,59,15,Coffee & Tea,20 fl oz cup
McDondalds,beverage,Hazelnut Latte (Small),12,fl oz,270,9.0,5.0,0.0,25,115,40,1,38,9,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Hazelnut Latte (Medium),16,fl oz,330,10.0,6.0,0.0,30,140,50,1,47,11,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Hazelnut Latte (Large),20,fl oz,430,14.0,8.0,0.0,40,180,62,1,58,15,Coffee & Tea,20 fl oz cup
McDondalds,beverage,French Vanilla Latte (Small),12,fl oz,260,9.0,5.0,0.0,25,115,38,1,36,9,Coffee & Tea,12 fl oz cup
McDondalds,beverage,French Vanilla Latte (Medium),16,fl oz,330,10.0,6.0,0.0,30,140,48,1,45,11,Coffee & Tea,16 fl oz cup
McDondalds,beverage,French Vanilla Latte (Large),20,fl oz,420,14.0,8.0,0.0,40,190,60,1,56,15,Coffee & Tea,20 fl oz cup
McDondalds,beverage,Latte with Sugar Free French Vanilla Syrup (Small),12,fl oz,210,9.0,5.0,0.0,25,150,24,1,12,9,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Latte with Sugar Free French Vanilla Syrup (Medium),16,fl oz,260,10.0,6.0,0.0,30,190,29,1,15,12,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Latte with Sugar Free French Vanilla Syrup (Large),20,fl oz,330,14.0,8.0,0.0,40,240,37,2,20,15,Coffee & Tea,20 fl oz cup
McDondalds,beverage,Nonfat Latte (Small),12,fl oz,100,0.0,0.0,0.0,5,110,15,1,13,10,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Nonfat Latte (Medium),16,fl oz,130,0.0,0.0,0.0,5,135,19,1,16,12,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Nonfat Latte (Large),20,fl oz,170,0.5,0.0,0.0,10,180,25,1,21,16,Coffee & Tea,20 fl oz cup
McDondalds,beverage,Nonfat Caramel Latte (Small),12,fl oz,200,0.0,0.0,0.0,5,110,41,1,39,10,Coffee & Tea,12 fl oz cup
McDondalds,beverage,Nonfat Caramel Latte (Medium),16,fl oz,250,0.0,0.0,0.0,5,135,51,1,48,12,Coffee & Tea,16 fl oz cup
McDondalds,beverage,Nonfat Caramel Latte (Large),20,fl oz,310,0.5,0.0,0.0,10,180,63,1,59,16,Coffee & Tea,20 fl oz cup
McDondalds,beverage,Nonfat Hazelnut Latte (Small),12,fl oz,200,0.0,0.0,0.0,5,110,40,1,38,10,Coffee & Tea,12 fl oz cup
